,day_high,day_low,div_freq,dividend,eps,ex_div_date,marter_cap,open,prev_close,quote_price,quote_price_change,quote_price_change_percent,quote_symbol,quote_volume,yield
0,N/A,N/A,N/A,N A,-0.190000,N/A,"4,802,614",N/A,0.05,0.05,0.0,0.0,AAB,0,N/A
1,2.25,2.195,N/A,N A,0.150000,N/A,"409,072,710",2.24,2.22,2.2,-0.02,-0.9,AAV,489380,N/A
2,9.13,9.05,Quarterly,0.080 CAD,0.220000,02/05/2019,"371,162,319",9.07,9.05,9.1,0.05,0.55,ABT,330140,3.516
3,18.81,18.31,Quarterly,0.070 USD,-1.780000,12/27/2018,"32,096,306,558",18.70,18.64,18.32,-0.32,-1.72,ABX,3549748,2.046
4,32.49,32.10,N/A,N A,2.080000,N/A,"8,722,577,482",32.34,32.13,32.21,0.08,0.25,AC,910404,N/A
5,12.41,12.05,N/A,N A,0.010000,N/A,"12,370,180,928",12.39,12.09,12.22,0.13,1.08,ACB,8526609,N/A
6,8.30,7.81,N/A,N A,N/A,N/A,"203,500,000",7.83,7.91,8.14,0.23,2.91,ACB.WT,37535,N/A
7,10.04,10.00,Quarterly,0.090 CAD,1.030000,02/14/2019,"84,622,562",10.00,9.96,10.04,0.08,0.8,ACD,500,3.586
8,N/A,N/A,N/A,N A,N/A,N/A,"20,659,400",N/A,106.00,106.0,0.0,0.0,ACD.DB,0,N/A
9,17.84,17.25,Quarterly,0.238 CAD,2.380000,03/14/2019,"534,000,000",17.28,17.26,17.8,0.54,3.13,ACI,42801,5.337
10,45.54,44.97,Quarterly,0.405 CAD,N/A,03/06/2019,"4,564,326,645",45.48,45.33,45.0,-0.33,-0.73,ACO.X,158610,3.598
11,45.13,45.00,Quarterly,0.405 CAD,2.870000,03/06/2019,"595,379,115",45.10,45.40,45.0,-0.4,-0.88,ACO.Y,3300,3.598
12,10.76,10.58,Quarterly,0.100 CAD,-2.850000,02/28/2019,"292,540,052",10.65,10.60,10.67,0.07,0.66,ACQ,113970,3.749
13,12.45,12.45,Monthly,0.046 CAD,1.350000,03/28/2019,"13,241,633",12.45,12.42,12.45,0.03,0.24,ACZ.UN,100,4.417
14,21.19,20.80,Monthly,0.138 CAD,1.670000,03/28/2019,"769,340,887",20.88,20.87,21.08,0.21,1.01,AD,172757,7.827
15,16.59,16.19,Quarterly,0.290 CAD,1.570000,03/28/2019,"271,496,123",16.50,16.55,16.27,-0.28,-1.69,ADN,10221,7.130
16,24.55,24.24,N/A,N A,121.370002,N/A,"1,185,662,998",24.55,24.54,24.24,-0.3,-1.22,ADVZ,480,N/A
17,18.11,17.20,N/A,N A,N/A,N/A,"885,823,304",17.51,13.79,18.11,4.32,31.33,ADVZ.U,794,N/A
18,13.47,13.09,Quarterly,0.051 CAD,0.470000,03/28/2019,"476,070,066",13.20,13.19,13.23,0.04,0.3,ADW.A,17440,1.551
19,13.37,13.37,Quarterly,0.045 CAD,0.470000,03/28/2019,"109,620,550",13.37,13.95,13.37,-0.58,-4.16,ADW.B,300,1.334
20,N/A,N/A,N/A,N A,-8.050000,N/A,"52,190,404",N/A,0.73,0.73,0.0,0.0,AEF,0,N/A
21,N/A,N/A,N/A,N A,N/A,N/A,"104,420",N/A,0.005,0.005,0.0,0.0,AEF.WT,0,N/A
22,58.89,58.06,Quarterly,0.125 USD,-1.910000,02/28/2019,"13,658,711,570",58.80,58.45,58.1,-0.35,-0.6,AEM,587003,1.144
23,6.28,5.54,N/A,N A,0.730000,N/A,"102,754,875",5.54,5.52,6.25,0.73,13.22,AEZS,110176,N/A
24,63.11,62.05,Monthly,0.200 CAD,1.580000,04/29/2019,"1,144,912,899",62.21,62.04,62.26,0.22,0.35,AFN,84366,3.855
