,corr_day_close,corr_day_vol,corr_open_close,day_high,day_low,div_freq,dividend,eps,ex_div_date,market_cap,open,prev_close,price_precent_change_5d,quote_price,quote_price_change,quote_price_change_percent,quote_symbol,quote_volume,yield
0,0.2398252386864889,-0.09051006018454495,0.2527945745844702,9.26,9.09,Monthly,0.100 CAD,-1.420000,04/29/2019,847253455,9.20,9.10,0.76,9.15,0.05,0.55,CHE.UN,268866,13.187
1,-0.8609436385310236,0.3923371940928889,0.9025690986386836,23.13,22.98,Monthly,0.088 CAD,N/A,03/27/2019,17347500,22.98,23.00,-2.3,23.13,0.13,0.57,REIT,1600,4.783
2,,,,N/A,N/A,N/A,N A,"-3,761.37011",N/A,887780098,N/A,18.15,,18.15,0.0,0.0,ADVZ.U,0,N/A
3,0.9333842094141205,-0.18043323347027168,0.9554592816075764,33.58,33.47,Quarterly,0.239 CAD,N/A,03/29/2019,1904801250,33.47,33.45,1.37,33.55,0.1,0.3,VCN,43238,2.548
4,-0.10693440791186094,0.08134851889918808,0.5488127497574724,20.93,20.93,Quarterly,0.130 CAD,N/A,03/21/2019,26162500,20.93,20.86,-0.58,20.93,0.07,0.34,DFD,500,2.516
5,-0.472046507020565,0.3257747687504677,0.48237363953683543,0.88,0.84,N/A,N A,-0.860000,N/A,194191968,0.84,0.87,-4.82,0.86,-0.01,-1.15,AKG,36130,N/A
6,0.7158037340763728,0.1218776087184185,0.790089895770882,0.00,0.00,Quarterly,0.065 CAD,N/A,03/28/2019,63290905,0.00,20.77,0.88,20.77,0.0,0.0,HBG,9,1.324
7,0.8027478924580813,-0.5595581665015086,0.7804518200918111,N/A,N/A,Quarterly,0.125 CAD,1.410000,03/18/2019,0,N/A,0.00,6.08,0.0,0.0,0.0,HSE,0,3.413
8,-0.9606927924148145,0.11698384817276807,0.9637282865677784,1.12,1.06,N/A,N A,-0.020000,N/A,317730857,1.12,1.10,-12.26,1.09,-0.01,-0.91,SBB,265751,N/A
9,0.6586561837557868,-0.4504810802904841,0.751268788537367,19.91,19.91,Monthly,0.035 CAD,N/A,03/27/2019,93577000,19.91,19.90,0.1,19.91,0.01,0.05,PFL,1505,1.795
