,Unnamed: 0,corr_day_close,corr_day_vol,corr_open_close,day_high,day_low,div_freq,dividend,eps,ex_div_date,market_cap,open,prev_close,price_precent_change_5d,quote_price,quote_price_change,quote_price_change_percent,quote_symbol,quote_volume,yield
11,11,-0.3615936622181655,-0.3680287746432869,0.7250707404229797,17.96,17.96,Monthly,0.073 CAD,,2019-04-22,12572000,17.96,17.9,-0.56,17.96,0.06,0.34,DCP,130,4.95
25,25,,,,24.61,24.6,Quarterly,0.306 CAD,,2019-04-24,147600000,24.61,24.55,,24.6,0.05,0.2,RY.PR.N,600,4.98
27,27,,,,,,Monthly,0.025 USD,,2019-04-23,14940000,,9.96,0.0,9.96,0.0,0.0,FIG.U,0,2.988
49,49,-0.8263167236873417,0.2724300185854083,0.8434832273465761,17.57,17.48,Monthly,0.068 CAD,1.510000,2019-04-23,474928954,17.5,17.48,-1.77,17.56,0.08,0.46,RIT,9458,4.613
51,51,-0.8330843616214636,0.538918262263716,0.9023985128671498,,,Monthly,0.071 CAD,,2019-04-22,4030000,,20.15,-3.15,20.15,0.0,0.0,RGRE,0,5.712000000000001
53,53,0.1952749371426803,-0.43671367726606,0.22328660884875773,21.29,21.24,Monthly,0.053 CAD,1.170000,2019-04-24,1594621000,21.24,21.24,-0.05,21.29,0.05,0.24,XCB,21201,2.992
58,58,0.2532725813385122,-0.10649111248521036,0.6745322258548145,19.76,19.75,Monthly,0.047 CAD,,2019-04-24,130416000,19.75,19.72,0.0,19.76,0.04,0.2,XSC,2423,2.687
69,69,0.8973996479510841,-0.05894325785893744,0.9820063731394392,20.33,20.28,Monthly,0.068 CAD,,2019-04-22,65056000,20.3,20.25,1.83,20.33,0.08,0.4,RBNK,29878,3.719
82,82,,,,11.67,11.67,Monthly,0.033 USD,,2019-04-26,1750500,11.67,11.63,0.0,11.67,0.04,0.34,TUSB.U,4600,3.605
106,106,0.4701978264487862,0.30675196533516697,0.6549788436509669,16.36,16.31,Monthly,0.046 CAD,,2019-04-26,1107612736,16.33,16.29,0.43,16.36,0.07,0.43,ZCM,7443,3.227
109,109,0.3117071345063309,0.25640421807326197,0.2553184671767054,18.99,18.92,Monthly,0.058 CAD,,2019-04-26,1320920340,18.92,18.96,-0.32,18.99,0.03,0.16,ZIC,3194,3.576
112,112,-0.3553250926243921,0.5420316396283502,0.019103891517708062,13.72,13.54,Monthly,0.070 CAD,,2019-04-26,810952695,13.72,13.53,-0.37,13.545,0.015,0.11,ZWU,70378,6.149
113,113,-0.20768973423159687,-0.21234709007320104,0.5687780668922067,18.46,18.41,Monthly,0.065 CAD,,2019-04-26,366821484,18.41,18.37,-0.65,18.46,0.09,0.49,ZLC,7770,4.133
115,115,0.6125434006013679,0.2338836716402661,0.7189154050788095,23.8,23.68,Monthly,0.075 CAD,,2019-04-22,320625000,23.75,23.73,0.47,23.75,0.02,0.08,RID,3935,4.522
121,121,0.95451811369342,0.3257867335680373,0.931090711179753,24.0,23.73,Monthly,0.040 CAD,,2019-04-24,27358500,23.99,23.66,1.3,23.79,0.13,0.55,DXC,1607,2.0180000000000002
130,130,0.5584146780280392,-0.4723939355034082,0.5637080061416302,25.25,25.23,Monthly,0.083 CAD,,2019-04-25,103525000,25.23,25.14,-0.68,25.25,0.11,0.44,FCUD,200,3.9739999999999998
139,139,0.44342202660886987,-0.461059324572909,-0.2439750182371333,9.91,9.89,Monthly,0.020 CAD,,2019-04-23,222975000,9.89,9.91,0.0,9.91,0.0,0.0,FSB,5210,2.4219999999999997
143,143,0.8394211350056067,0.3371951555750778,0.8627593343660296,25.11,24.98,Monthly,0.085 CAD,1.800000,2019-04-24,1398070000,24.98,25.03,0.92,25.1,0.07,0.28,XDV,20575,4.434
145,145,0.7434406727108133,-0.34405526116367885,0.6891450699164114,19.25,19.23,Monthly,0.045 CAD,0.740000,2019-04-24,975975000,19.25,19.22,0.16,19.25,0.03,0.16,XSH,10125,2.784
166,166,-0.908398714878674,0.14890695601934004,0.9961576377118706,24.0,24.0,Monthly,0.105 CAD,,2019-04-26,13090800,24.0,23.92,-2.47,24.0,0.08,0.33,ZHP,200,5.25
179,179,-0.8233436632011732,0.5363533911031353,0.9507227449582408,,,Monthly,0.080 CAD,,2019-04-25,95160000,,20.8,-2.95,20.8,0.0,0.0,PHR,0,4.615
183,183,0.4098729590709847,-0.11274937361461405,0.8844381303255403,9.19,9.16,Monthly,0.038 CAD,,2019-04-26,54960000,9.19,9.16,0.11,9.16,0.0,0.0,TPRF,2800,5.044
184,184,0.3927516340198012,-0.5068099452662018,0.9964378468893068,,,Monthly,0.056 USD,,2019-04-22,30073000,,17.69,0.51,17.69,0.0,0.0,RID.U,0,4.607
187,187,0.17240215499132322,-0.04726695355803124,0.6763324536857332,18.55,18.5,Monthly,0.088 CAD,,2019-04-24,144300000,18.5,18.52,-0.22,18.5,-0.02,-0.11,CHB,3908,5.789
197,197,0.07408366083652528,-0.3637747859744153,0.7135766990263661,,,Monthly,0.070 CAD,,2019-04-22,26299000,,20.23,-1.19,20.23,0.0,0.0,NPRF,0,3.5589999999999997
204,204,0.7565066485328352,0.2645777571962256,0.8022605387561379,15.63,15.62,Monthly,0.055 CAD,,2019-04-26,230911743,15.62,15.64,0.58,15.63,-0.01,-0.06,ZFH,7140,3.927
231,231,0.8964082265281669,0.3721397926970136,0.9396455776052959,20.91,20.87,Monthly,0.069 CAD,,2019-04-22,130687500,20.87,20.84,1.29,20.91,0.07,0.34,RCD,2320,3.778
236,236,0.9371451249925292,0.4315337419626948,0.9725572154299034,13.01,12.97,Monthly,0.030 CAD,1.760000,2019-04-24,158722000,12.99,12.94,2.47,13.01,0.07,0.54,CEW,12403,2.741
264,264,,,,22.3,22.09,Quarterly,0.300 CAD,,2019-04-24,311220000,22.16,22.2,,22.23,0.03,0.14,RY.PR.S,10720,5.398
265,265,0.9419740141293584,-0.3445245096530802,0.9786429347890552,18.88,18.83,Monthly,0.085 CAD,,2019-04-26,1923362500,18.83,18.795,2.18,18.875,0.08,0.43,ZWB,124423,4.793
276,276,-0.05964040867477525,0.430791903567669,0.18281232147243387,9.55,9.55,Monthly,0.045 CAD,,2019-04-23,22801246,9.55,9.54,-0.21,9.55,0.01,0.1,FAO,100,5.654
282,282,,,,25.32,25.32,Quarterly,0.288 CAD,,2019-04-24,202560000,25.32,25.32,,25.32,0.0,0.0,RY.PR.C,2439,4.542
297,297,-0.1773136754573482,0.39342793062281534,0.5074404873873117,18.55,18.51,Monthly,0.044 CAD,-0.030000,2019-04-24,275467500,18.52,18.46,-0.32,18.55,0.09,0.49,CLG,57481,2.911
304,304,0.2289725178649363,0.3516539848268581,1.0,,,Monthly,0.050 CAD,,2019-04-22,79156000,,20.56,0.05,20.56,0.0,0.0,RQL,0,2.8930000000000002
311,311,-0.6771679155959979,-0.21779853811510247,0.7184578740639801,16.03,15.99,Monthly,0.030 CAD,,2019-04-26,656520000,15.99,15.98,-0.56,16.0,0.02,0.13,ZDB,13278,2.1
314,314,-0.4960700469599138,0.2665051851363792,0.8818424179365285,16.36,16.34,Monthly,0.028 CAD,,2019-04-26,696787280,16.35,16.3,-0.12,16.35,0.05,0.31,ZFM,27163,2.006
332,332,0.9131912743272134,-0.19194713745203565,0.8287627418170422,22.83,22.71,Monthly,0.093 CAD,,2019-04-26,140824710,22.83,22.61,1.06,22.71,0.1,0.44,ZDH,2385,4.439
348,348,,,,25.39,25.3,Quarterly,0.281 CAD,,2019-04-24,253000000,25.36,25.39,,25.3,-0.09,-0.35,RY.PR.E,9931,4.447
354,354,0.9379363848386978,0.5524417377327359,1.0,,,Monthly,0.095 USD,,2019-04-26,15651000,,17.39,1.04,17.39,0.0,0.0,ZPW.U,0,6.555
355,355,,-0.4969293465978883,,,,Monthly,0.027 USD,,2019-04-22,2806000,,14.03,0.0,14.03,0.0,0.0,RUBY.U,0,1.9909999999999999
368,368,-0.5293919303889146,-0.4219224826210262,0.8087368735890103,20.13,20.06,Monthly,0.048 CAD,,2019-04-24,219308000,20.09,20.04,-0.5,20.12,0.08,0.4,XSE,10905,2.8080000000000003
370,370,-0.4876550123807134,0.015875493157016567,0.05066234046736996,14.63,14.55,Monthly,0.045 CAD,,2019-04-26,1108695217,14.63,14.62,0.07,14.55,-0.07,-0.48,ZMU,7500,3.6839999999999997
376,376,0.8428102095371922,-0.15740345768933128,0.9153518682881552,26.22,26.22,Monthly,0.055 CAD,,2019-04-24,36708000,26.22,26.09,0.46,26.22,0.13,0.5,XHU,561,2.574
