Symbol,Description
AAB.TO,Aberdeen International Inc
AAV.TO,Advantage Oil & Gas Ltd
ABT.TO,Absolute Software Corp
ABX.TO,Barrick Gold Corp
AC.TO,Air Canada
ACB.TO,Aurora Cannabis Inc
ACB.WT.TO,Aurora Cannabis Inc Wts
ACD.TO,Accord Financial
ACD.DB.TO,Accord Financial Corp 7.00 Pct Debs
ACI.TO,Altagas Canada Inc
ACO.X.TO,Atco Ltd Cl.I NV
ACO.Y.TO,Atco Ltd Cl II
ACQ.TO,Autocanada Inc
ACR.UN.TO,Agellan Commercial REIT
ACZ.UN.TO,American Core Sectors Dividend Fund
AD.TO,Alaris Royalty Corp
ADN.TO,Acadian Timber Corp
ADVZ.TO,Advanz Pharma Corp
ADVZ.U.TO,Advanz Pharma Corp USD
ADW.A.TO,Andrew Peller Limited Cl.A
ADW.B.TO,Andrew Peller Limited Cl.B
AEF.TO,Acasta Enterprises Inc
AEF.WT.TO,Acasta Enterprises Inc Wts
AEM.TO,Agnico Eagle Mines Limited
AEZS.TO,Aeterna Zentaris Inc
AFN.TO,Ag Growth International Inc
AFN.DB.B.TO,Ag Growth International 5.25 Pct Debs
AFN.DB.C.TO,Ag Growth Intl Inc 5.00 Pct Debs
AFN.DB.D.TO,Ag Growth Intl Inc 4.85 Pct Debs
AFN.DB.E.TO,Ag Growth Intl Inc 4.50 Pct Debs
AGF.B.TO,AGF Management Ltd Cl.B NV
AGI.TO,Alamos Gold Inc Cls A
AGT.TO,Agt Food and Ingredients Inc
AHY.UN.TO,Advantaged CDN High Yield Bond Fund
AI.TO,Atrium Mortgage Investment Corp
AI.DB.TO,Atrium Mortgage Inv Corp 5.25 Pct Debs
AI.DB.A.TO,Atrium Mortgage Inv Corp 6.25 Pct Debs
AI.DB.B.TO,Atrium Mortgage Inv Corp 5.50 Pct Debs
AI.DB.C.TO,Atrium Mortgage Inv Corp 5.30 Pct Debs
AI.DB.D.TO,Atrium Mortgage Inv Corp 5.50 Pct Debs
AIF.TO,Altus Group Limited
AII.TO,Almonty Industries Inc
AIM.TO,Aimia Inc
AIM.PR.A.TO,Aimia Inc Pref Ser 1
AIM.PR.B.TO,Aimia Inc Pref Ser 2
AIM.PR.C.TO,Aimia Inc Pref Ser 3
AJX.TO,Agjunction Inc
AKG.TO,Asanko Gold Inc
AKT.A.TO,Akita Drilling Ltd Cl.A NV
AKT.B.TO,Akita Cl B
AKU.TO,Akumin Inc
AKU.U.TO,Akumin Inc
ALA.TO,Altagas Ltd
ALA.PR.A.TO,Altagas Ltd Pref A
ALA.PR.B.TO,Altagas Ltd Pref Ser B
ALA.PR.E.TO,Altagas Ltd Pref Ser E
ALA.PR.G.TO,Altagas Ltd Pref G
ALA.PR.I.TO,Altagas Ltd Pref Ser I
ALA.PR.K.TO,Altagas Ltd Pref Ser K
ALA.PR.U.TO,Altagas Ltd Pref Ser C
ALB.TO,Allbanc Split Banc Corp II
ALB.PR.C.TO,Allbanc Split Corp II Pref Ser 2
ALC.TO,Algoma Central
ALC.DB.A.TO,Algoma Central Corp 5.25 Pct Debs
ALO.TO,Alio Gold Inc
ALS.TO,Altius Minerals Corp
ALYA.TO,Alithya Group
AMM.TO,Almaden Minerals Ltd
ANX.TO,Anaconda Mining Inc
AOI.TO,Africa Oil Corp
AP.UN.TO,Allied Properties Real Estate Inv Trust
APHA.TO,Aphria Inc
APR.UN.TO,Automotive Properties REIT
APS.TO,Aptose Biosciences Inc
APY.TO,Anglo Pacific Group Plc
AQA.TO,Aquila Resources Inc
AQN.TO,Algonquin Power and Utilities Corp
AQN.PR.A.TO,Algonquin Power and Utilities Pref A
AQN.PR.D.TO,Algonquin Power and Utilities Pref D
AQY.A.TO,Alignvest Acquisition II Corp Cl A
AQY.WT.TO,Alignvest Acquisition II Corp Wts
AR.TO,Argonaut Gold Inc
ARE.TO,Aecon Group Inc
ARE.DB.C.TO,Aecon Group Inc 5.0 Pct Debs
ARG.TO,Amerigo Resources Ltd
ARX.TO,Arc Resources Ltd
ASM.TO,Avino Silver and Gold Mines Ltd
ASM.WT.TO,Avino Silver and Gold Mines Ltd Wts
ASND.TO,Ascendant Resources Inc
ASND.WT.TO,Ascendant Resources Inc Wts
ASO.TO,Avesoro Resources Inc
ASP.TO,Acerus Pharmaceuticals Corp
ASP.WT.TO,Acerus Pharmaceuticals Corp Wts
ASR.TO,Alacer Gold Corp
ATA.TO,Ats Automation
ATD.A.TO,Alimentation Couche-Tard Inc Cl A Mv
ATD.B.TO,Alimentation Couche-Tard Inc Cl B Sv
ATH.TO,Athabasca Oil Corp
ATL.TO,Atlatsa Resources Corp
ATP.TO,Atlantic Power Corp
ATP.DB.D.TO,Atlantic Power Corp 6.00 Pct Ser D Debs
ATP.DB.E.TO,Atlantic Power Corporation 6.00 Pct Debs
ATZ.TO,Aritzia Inc
AUG.TO,Auryn Resources Inc
AUMN.TO,Golden Minerals Company
AUP.TO,Aurinia Pharmaceuticals Inc
AVL.TO,Avalon Advanced Materials Inc
